,url,title,publish_date,summary,event_type,trigger,arg_subject,arg_weapon,arg_time,arg_location,label
0,https://baochinhphu.vn/truc-tiep-le-ky-niem-trong-the-100-nam-ngay-bao-chi-cach-mang-viet-nam-102250621084319019.htm,TRỰC TIẾP: Kỷ niệm trọng thể 100 năm ngày Báo chí cách mạng Việt Nam,21/06/2025 11:30,"Sáng nay 21/6, tại Trung tâm Hội nghị Quốc gia, diễn ra  Lễ kỷ niệm 100 năm ngày Báo chí cách mạng Việt Nam (21/6/1925 - 21/6/2025).",,,,,Sáng nay 21/6,tại Trung tâm Hội nghị Quốc gia,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,https://baochinhphu.vn/100-nam-bao-chi-cach-mang-vi-dan-toc-vi-tuong-lai-102250620140559604.htm,"100 năm báo chí cách mạng: Vì dân tộc, vì tương lai",21/06/2025 06:00,"Trong kỷ nguyên vươn mình của Dân tộc, nơi từng cá nhân, từng cộng đồng đều có thể đóng góp vào sự phát triển quốc gia, thì báo chí không chỉ là nhân chứng lịch sử, mà là người góp phần lan tỏa và viết tiếp về tương lai tươi sáng.",,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,https://baochinhphu.vn/bao-chi-cach-mang-viet-nam-mot-the-ky-dong-hanh-cung-dat-nuoc-vi-dat-nuoc-102250609160743888.htm,"Báo chí Cách mạng Việt Nam: Một thế kỷ đồng hành cùng đất nước, vì đất nước",21/06/2025 08:06,"Nhân dịp kỷ niệm 100 năm Ngày Báo chí Cách mạng Việt Nam (21/6/1925 - 21/6/2025), PGS.TS Nguyễn Thế Kỷ, Chủ tịch Hội đồng Lý luận, phê bình văn học nghệ thuật Trung ương, nguyên Ủy viên Trung ương Đảng, nguyên Phó Trưởng Ban Tuyên giáo Trung ương, nguyên Tổng Giám đốc Đài Tiếng nói Việt Nam - chia sẻ với Báo Điện tử Chính phủ những cảm nghĩ sâu sắc về chặng đường một thế kỷ báo chí cách mạng, những đóng góp không thể thay thế của báo chí trong công cuộc đấu tranh giành độc lập, bảo vệ Tổ quốc và phát triển đất nước.",,,Ban Tuyên giáo Trung ương,,21/6/1925,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,https://baochinhphu.vn/bao-chi-doi-ngoai-la-mot-phan-huu-co-khong-the-tach-roi-cua-cong-tac-doi-ngoai-102250620225641057.htm,"Báo chí đối ngoại là một phần hữu cơ, không thể tách rời của công tác đối ngoại",20/06/2025 22:59,"Nhân dịp kỷ niệm 100 năm Báo chí cách mạng Việt Nam, Thứ trưởng Bộ Ngoại giao Lê Thị Thu Hằng đã trả lời phỏng vấn báo chí, trong đó nhấn mạnh báo chí đối ngoại chính là một phần hữu cơ, không thể tách rời của công tác đối ngoại.",Statement,nhấn mạnh,Thứ trưởng Bộ Ngoại,,,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,https://baochinhphu.vn/hanh-dong-ngay-quyet-liet-va-hieu-qua-de-trien-khai-25-dich-cong-truc-tuyen-toan-trinh-10225062018194847.htm,"Hành động ngay, quyết liệt và hiệu quả để triển khai 25 dịch vụ công trực tuyến toàn trình",20/06/2025 18:31,"Chiều 20/6, tại Trụ sở Chính phủ, Phó Thủ tướng Nguyễn Chí Dũng chủ trì họp về triển khai, cung cấp dịch vụ công trực tuyến theo hướng chủ động, hoàn toàn dựa trên dữ liệu.",Meeting,họp,Phó Thủ tướng Nguyễn Chí Dũng,,Chiều 20/6,tại Trụ sở Chính phủ,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,https://baochinhphu.vn/to-chuc-lai-phong-chuyen-mon-cap-xa-don-vi-su-nghiep-cong-lap-cua-can-tho-hau-giang-va-soc-trang-102250620175732543.htm,"Tổ chức lại phòng chuyên môn cấp xã, đơn vị sự nghiệp công lập của Cần Thơ, Hậu Giang và Sóc Trăng",20/06/2025 18:06,"Bí thư Thành ủy Cần Thơ Đỗ Thanh Bình, Trưởng Ban Chỉ đạo về hợp nhất, sáp nhập đơn vị hành chính cấp tỉnh và thành lập Đảng bộ TP. Cần Thơ sau hợp nhất, sáp nhập đơn vị hành chính cấp tỉnh vừa ký ban hành Công văn số 06-CV/BCĐ về định hướng sắp xếp, tổ chức lại cơ quan chuyên môn cấp xã và đơn vị sự nghiệp công lập khi thực hiện mô hình tổ chức chính quyền 2 cấp.",Statement,Chỉ đạo,Bí thư Thành ủy Cần Thơ Đỗ Thanh Bình,,,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,https://baochinhphu.vn/nganh-dau-khi-phai-khai-thac-su-dung-hieu-qua-tai-nguyen-quoc-gia-102250620173558806.htm,"Ngành dầu khí phải khai thác, sử dụng hiệu quả tài nguyên quốc gia",20/06/2025 17:51,Phó Thủ tướng Bùi Thanh Sơn yêu cầu ngành dầu khí tiếp tục phát huy trách nhiệm cao nhất trong việc khai thác và sử dụng hiệu quả nguồn tài nguyên quý giá của quốc gia.,,,Phó Thủ tướng Bùi Thanh Sơn,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,https://baochinhphu.vn/pho-thu-tuong-le-thanh-long-hoan-nghenh-cac-tap-doan-hang-dau-cua-nga-mo-rong-sang-cac-linh-vuc-hop-tac-moi-102250620165612294.htm,Phó Thủ tướng Lê Thành Long hoan nghênh các tập đoàn hàng đầu của Nga mở rộng sang các lĩnh vực hợp tác mới,20/06/2025 17:07,"Trong thời gian tham dự Diễn đàn Kinh tế Quốc tế Saint-Petersburg lần thứ 28 từ ngày 18 đến 20/6, Phó Thủ tướng Chính phủ Lê Thành Long đã tiếp lãnh đạo một số Tập đoàn, công ty hàng đầu của Nga đang hợp tác và quan tâm đầu tư tại Việt Nam, gồm Gazprom, AFK Sistema và Zarubezneft.",Cooperation,hợp tác,Phó Thủ tướng Chính phủ Lê Thành Long,,20/6,tại Việt Nam,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,https://baochinhphu.vn/kip-thoi-thao-go-kho-khan-vuong-mac-do-quy-dinh-cua-phap-luat-102250620162055443.htm,"Kịp thời tháo gỡ khó khăn, vướng mắc do quy định của pháp luật",20/06/2025 16:20,"Tiếp tục chương trình Kỳ họp thứ 9, chiều 20/6, Quốc hội họp phiên toàn thể tại Hội trường, nghe báo cáo về dự thảo Nghị quyết của Quốc hội về cơ chế xử lý khó khăn, vướng mắc do quy định của pháp luật.",Legislation,luật,,,chiều 20/6,tại Hội trường,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,https://baochinhphu.vn/phien-chat-van-va-tra-loi-chat-van-dung-va-trung-van-de-102250620145511976.htm,Phiên chất vấn và trả lời chất vấn: Đúng và trúng vấn đề,20/06/2025 14:55,"Qua phiên chất vấn tại kỳ họp cho thấy các nội dung chất vấn đã đáp ứng được yêu cầu thực tiễn, đúng và trúng những vấn đề cử tri, nhân dân và các vị đại biểu Quốc hội quan tâm. Các Bộ trưởng đã thể hiện tinh thần cầu thị, trách nhiệm, nắm chắc tình hình, không né tránh, trả lời thẳng vào các vấn đề và có cam kết, giải pháp cụ thể trong thời gian tới.",Cooperation,cam kết,Bộ trưởng,,,tại kỳ họp cho thấy các nội dung chất vấn đã đáp ứng được yêu cầu thực tiễn,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
